state,year,domestic_visitors,foreign_visitors,total_visitors,source
Andhra Pradesh,2020,70828590,67591,70896181,Ministry of Tourism / State-UT Tourism Departments
Andhra Pradesh,2021,93277569,27551,93305120,Ministry of Tourism / State-UT Tourism Departments
Andhra Pradesh,2022,192716721,165845,192882566,Ministry of Tourism / State-UT Tourism Departments
Andhra Pradesh,2023,254706328,60426,254766754,Ministry of Tourism / State-UT Tourism Departments
Andhra Pradesh,2024,290266452,262431,290528883,Ministry of Tourism / State-UT Tourism Departments
Telangana,2020,40000000,46694,40046694,Ministry of Tourism / State-UT Tourism Departments
Telangana,2021,32000000,5917,32005917,Ministry of Tourism / State-UT Tourism Departments
Telangana,2022,60750000,68401,60818401,Ministry of Tourism / State-UT Tourism Departments
Telangana,2023,58450000,160912,58610912,Ministry of Tourism / State-UT Tourism Departments
Telangana,2024,88239675,155313,88394988,Ministry of Tourism / State-UT Tourism Departments
