dCsh,Sri Rama Navami,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-04-03,Andhra Pradesh,Good Friday,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-04-05,Andhra Pradesh,Babu Jagjivan Ram's Birthday,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-04-14,Andhra Pradesh,Dr. B.R. Ambedkar's Birthday,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-05-27,Andhra Pradesh,Eid-ul-Adha (Bakrid),Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-06-25,Andhra Pradesh,Moharrum,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-08-15,Andhra Pradesh,Independence Day,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-08-21,Andhra Pradesh,Vara Lakshmi Vratham,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-08-25,Andhra Pradesh,Milad-un-Nabi,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-09-04,Andhra Pradesh,Sri Krishnaashtami,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-09-14,Andhra Pradesh,Vinayaka Chavithi,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-10-02,Andhra Pradesh,Mahatma Gandhi Jayanthi,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-10-18,Andhra Pradesh,Durgashtami,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-10-20,Andhra Pradesh,Vijaya Dasami,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-11-08,Andhra Pradesh,Deepavali,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-12-25,Andhra Pradesh,Christmas,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-01-14,Telangana,Bhogi,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-01-15,Telangana,Sankranti / Pongal,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-01-26,Telangana,Republic Day,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-02-15,Telangana,Maha Shivaratri,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-03-03,Telangana,Holi,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-03-19,Telangana,Ugadi,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-03-21,Telangana,Eid-ul-Fitr (Ramzan),Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-03-22,Telangana,Following Day of Ramzan,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
