date,state,event_name,event_type,school_holiday,district,source
2026-06-12,Andhra Pradesh,School reopening,Academic calendar,1,All,State school academic calendars 2026-27
2026-10-12,Andhra Pradesh,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-10-13,Andhra Pradesh,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-10-14,Andhra Pradesh,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-10-15,Andhra Pradesh,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-10-16,Andhra Pradesh,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-10-17,Andhra Pradesh,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-10-18,Andhra Pradesh,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-10-19,Andhra Pradesh,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-10-20,Andhra Pradesh,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-10-21,Andhra Pradesh,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-12-25,Andhra Pradesh,Christmas holiday,School holiday,1,All,State school academic calendars 2026-27
2027-01-11,Andhra Pradesh,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
2027-01-12,Andhra Pradesh,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
2027-01-13,Andhra Pradesh,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
2027-01-14,Andhra Pradesh,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
2027-01-15,Andhra Pradesh,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
2027-01-16,Andhra Pradesh,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
2027-01-17,Andhra Pradesh,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
2026-06-01,Telangana,Academic year period,Academic calendar,0,All,State school academic calendars 2026-27
2026-10-19,Telangana,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-10-20,Telangana,Dasara vacation,School vacation,1,All,State school academic calendars 2026-27
2026-12-23,Telangana,Christmas vacation begins,School vacation,1,All,State school academic calendars 2026-27
2026-12-24,Telangana,Christmas vacation,School vacation,1,All,State school academic calendars 2026-27
2026-12-25,Telangana,Christmas vacation,School vacation,1,All,State school academic calendars 2026-27
2026-12-26,Telangana,Christmas vacation,School vacation,1,All,State school academic calendars 2026-27
2026-12-27,Telangana,Christmas vacation,School vacation,1,All,State school academic calendars 2026-27
2026-12-28,Telangana,Christmas vacation,School vacation,1,All,State school academic calendars 2026-27
2027-01-13,Telangana,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
2027-01-14,Telangana,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
2027-01-15,Telangana,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
2027-01-16,Telangana,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
2027-01-17,Telangana,Sankranthi vacation,School vacation,1,All,State school academic calendars 2026-27
