date,day_of_week,hour,place,state,district,category,historical_tourism_index,weekend,rainfall_mm,school_holiday,holiday,local_event,rain_probability_proxy,morning,afternoon,evening
2026-01-01,Thursday,9,Amaravati Stupa,Andhra Pradesh,Palnadu,Buddhist/Heritage,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Amaravati Stupa,Andhra Pradesh,Palnadu,Buddhist/Heritage,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Amaravati Stupa,Andhra Pradesh,Palnadu,Buddhist/Heritage,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Amaravati Stupa,Andhra Pradesh,Palnadu,Buddhist/Heritage,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Araku Valley,Andhra Pradesh,Alluri Sitharama Raju,Hill Station/Nature,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Araku Valley,Andhra Pradesh,Alluri Sitharama Raju,Hill Station/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Araku Valley,Andhra Pradesh,Alluri Sitharama Raju,Hill Station/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Araku Valley,Andhra Pradesh,Alluri Sitharama Raju,Hill Station/Nature,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Belum Caves,Andhra Pradesh,Nandyal,Cave/Nature,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Belum Caves,Andhra Pradesh,Nandyal,Cave/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Belum Caves,Andhra Pradesh,Nandyal,Cave/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Belum Caves,Andhra Pradesh,Nandyal,Cave/Nature,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Bhavani Island,Andhra Pradesh,NTR,Island/Nature,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Bhavani Island,Andhra Pradesh,NTR,Island/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Bhavani Island,Andhra Pradesh,NTR,Island/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Bhavani Island,Andhra Pradesh,NTR,Island/Nature,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Borra Caves,Andhra Pradesh,Alluri Sitharama Raju,Cave/Nature,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Borra Caves,Andhra Pradesh,Alluri Sitharama Raju,Cave/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Borra Caves,Andhra Pradesh,Alluri Sitharama Raju,Cave/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Borra Caves,Andhra Pradesh,Alluri Sitharama Raju,Cave/Nature,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Chandragiri Fort,Andhra Pradesh,Tirupati,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Chandragiri Fort,Andhra Pradesh,Tirupati,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Chandragiri Fort,Andhra Pradesh,Tirupati,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Chandragiri Fort,Andhra Pradesh,Tirupati,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Horsley Hills,Andhra Pradesh,Annamayya,Hill Station/Nature,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Horsley Hills,Andhra Pradesh,Annamayya,Hill Station/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Horsley Hills,Andhra Pradesh,Annamayya,Hill Station/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Horsley Hills,Andhra Pradesh,Annamayya,Hill Station/Nature,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Kailasagiri,Andhra Pradesh,Visakhapatnam,Hill/Nature,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Kailasagiri,Andhra Pradesh,Visakhapatnam,Hill/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Kailasagiri,Andhra Pradesh,Visakhapatnam,Hill/Nature,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Kailasagiri,Andhra Pradesh,Visakhapatnam,Hill/Nature,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Konaseema,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Nature/Backwaters,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Konaseema,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Nature/Backwaters,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Konaseema,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Nature/Backwaters,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Konaseema,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Nature/Backwaters,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Kondapalli Fort,Andhra Pradesh,NTR,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Kondapalli Fort,Andhra Pradesh,NTR,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Kondapalli Fort,Andhra Pradesh,NTR,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Kondapalli Fort,Andhra Pradesh,NTR,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Kondaveedu Fort,Andhra Pradesh,Guntur,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Kondaveedu Fort,Andhra Pradesh,Guntur,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Kondaveedu Fort,Andhra Pradesh,Guntur,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Kondaveedu Fort,Andhra Pradesh,Guntur,Fort/Heritage,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Lepakshi Temple,Andhra Pradesh,Sri Sathya Sai,Heritage/Temple,180475900.8,0,0.0,0,0,0,0,1,0,0
2026-01-01,Thursday,12,Lepakshi Temple,Andhra Pradesh,Sri Sathya Sai,Heritage/Temple,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,15,Lepakshi Temple,Andhra Pradesh,Sri Sathya Sai,Heritage/Temple,180475900.8,0,0.0,0,0,0,0,0,1,0
2026-01-01,Thursday,18,Lepakshi Temple,Andhra Pradesh,Sri Sathya Sai,Heritage/Temple,180475900.8,0,0.0,0,0,0,0,0,0,1
2026-01-01,Thursday,9,Mangalagiri,Andhra Pradesh,Guntur,Temple/Hill,180475900.8,0,0.0,0,0,0,0,1,0,0
