SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,rainfall_mm,date,hour
1,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-06 13:00:00,2.0,2025-06-06,13
2,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-06 14:00:00,4.0,2025-06-06,14
3,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-06 15:00:00,2.5,2025-06-06,15
4,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-10 08:00:00,0.5,2025-06-10,8
5,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-10 12:00:00,1.5,2025-06-10,12
6,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-10 14:00:00,0.5,2025-06-10,14
7,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-10 15:00:00,1.0,2025-06-10,15
8,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-10 16:00:00,0.5,2025-06-10,16
9,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-10 18:00:00,0.5,2025-06-10,18
10,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-10 19:00:00,0.5,2025-06-10,19
11,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-11 09:00:00,0.5,2025-06-11,9
12,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-11 12:00:00,0.5,2025-06-11,12
13,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-11 14:00:00,0.5,2025-06-11,14
14,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-11 20:00:00,0.5,2025-06-11,20
15,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-12 08:00:00,0.5,2025-06-12,8
16,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-12 11:00:00,0.5,2025-06-12,11
17,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-12 14:00:00,0.5,2025-06-12,14
18,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-12 17:00:00,0.5,2025-06-12,17
19,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-13 08:00:00,0.5,2025-06-13,8
20,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-13 11:00:00,0.5,2025-06-13,11
21,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-13 15:00:00,0.5,2025-06-13,15
22,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-13 19:00:00,0.5,2025-06-13,19
23,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-13 23:00:00,0.5,2025-06-13,23
24,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-14 10:00:00,0.5,2025-06-14,10
25,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-14 15:00:00,0.5,2025-06-14,15
26,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-15 07:00:00,0.5,2025-06-15,7
27,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-15 15:00:00,0.5,2025-06-15,15
28,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-16 08:00:00,0.5,2025-06-16,8
29,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-16 15:00:00,0.5,2025-06-16,15
30,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35,83.21,2025-06-17 10:00:00,0.5,2025-06-17,10
