SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,rainfall_mm,date,hour
1,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-06 15:00:00,3.0,2023-11-06,15
2,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-06 16:00:00,1.5,2023-11-06,16
3,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-06 16:00:00,1.5,2023-11-06,16
4,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-08 22:00:00,1.0,2023-11-08,22
5,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-08 23:00:00,0.5,2023-11-08,23
6,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-08 23:00:00,0.5,2023-11-08,23
7,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-23 05:00:00,1.0,2023-11-23,5
8,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-23 05:00:00,1.0,2023-11-23,5
9,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-23 22:00:00,0.5,2023-11-23,22
10,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-23 22:00:00,0.5,2023-11-23,22
11,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-24 16:00:00,0.5,2023-11-24,16
12,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-24 16:00:00,0.5,2023-11-24,16
13,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-24 21:00:00,1.5,2023-11-24,21
14,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-24 21:00:00,1.5,2023-11-24,21
15,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-24 22:00:00,4.0,2023-11-24,22
16,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-24 22:00:00,4.0,2023-11-24,22
17,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-24 23:00:00,1.0,2023-11-24,23
18,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-24 23:00:00,1.0,2023-11-24,23
19,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-25 04:00:00,0.5,2023-11-25,4
20,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-11-25 04:00:00,0.5,2023-11-25,4
21,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-04 20:00:00,0.5,2023-12-04,20
22,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-04 20:00:00,0.5,2023-12-04,20
23,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-04 21:00:00,0.5,2023-12-04,21
24,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-04 21:00:00,0.5,2023-12-04,21
25,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-04 23:00:00,1.5,2023-12-04,23
26,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-04 23:00:00,1.5,2023-12-04,23
27,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 00:00:00,1.0,2023-12-05,0
28,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 00:00:00,1.0,2023-12-05,0
29,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 01:00:00,0.5,2023-12-05,1
30,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 01:00:00,0.5,2023-12-05,1
31,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 02:00:00,0.5,2023-12-05,2
32,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 03:00:00,0.5,2023-12-05,3
33,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 03:00:00,0.5,2023-12-05,3
34,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 04:00:00,1.0,2023-12-05,4
35,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 04:00:00,1.0,2023-12-05,4
36,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 05:00:00,0.5,2023-12-05,5
37,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 05:00:00,0.5,2023-12-05,5
38,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 06:00:00,0.5,2023-12-05,6
39,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 06:00:00,0.5,2023-12-05,6
40,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 07:00:00,0.5,2023-12-05,7
41,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 07:00:00,0.5,2023-12-05,7
42,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 08:00:00,2.0,2023-12-05,8
43,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 09:00:00,2.0,2023-12-05,9
44,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 09:00:00,2.0,2023-12-05,9
45,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 10:00:00,1.5,2023-12-05,10
46,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 10:00:00,1.5,2023-12-05,10
47,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 11:00:00,0.5,2023-12-05,11
48,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 11:00:00,0.5,2023-12-05,11
49,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 12:00:00,2.0,2023-12-05,12
50,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 12:00:00,2.0,2023-12-05,12
51,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 13:00:00,0.5,2023-12-05,13
52,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 13:00:00,0.5,2023-12-05,13
53,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 17:00:00,0.5,2023-12-05,17
54,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 18:00:00,0.5,2023-12-05,18
55,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 18:00:00,0.5,2023-12-05,18
56,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 20:00:00,1.0,2023-12-05,20
57,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 20:00:00,1.0,2023-12-05,20
58,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 21:00:00,1.0,2023-12-05,21
59,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-05 21:00:00,1.0,2023-12-05,21
60,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-06 03:00:00,0.5,2023-12-06,3
61,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-06 03:00:00,0.5,2023-12-06,3
62,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-06 04:00:00,1.5,2023-12-06,4
63,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2023-12-06 04:00:00,1.5,2023-12-06,4
64,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.697,79.089,2024-04-25 19:00:00,0.5,2024-04-25,19
