SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,06-06-2025 13:00,2
2,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,06-06-2025 14:00,4
3,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,06-06-2025 15:00,2.5
4,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,10-06-2025 08:00,0.5
5,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,10-06-2025 12:00,1.5
6,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,10-06-2025 14:00,0.5
7,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,10-06-2025 15:00,1
8,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,10-06-2025 16:00,0.5
9,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,10-06-2025 18:00,0.5
10,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,10-06-2025 19:00,0.5
11,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,11-06-2025 09:00,0.5
12,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,11-06-2025 12:00,0.5
13,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,11-06-2025 14:00,0.5
14,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,11-06-2025 20:00,0.5
15,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,12-06-2025 08:00,0.5
16,Andra Reservoir,Andhra Pradesh SW,28,Andhra Pradesh,521,VIZIANAGARAM,-,-,-,-,-,-,-,-,-,18.35000000,83.21000000,12-06-2025 11:00,0.5
