SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-11-2023 15:00,3
2,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-11-2023 16:00,1.5
3,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-11-2023 16:00,1.5
4,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-11-2023 22:00,1
5,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-11-2023 23:00,0.5
6,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-11-2023 23:00,0.5
7,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,23-11-2023 05:00,1
8,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,23-11-2023 05:00,1
9,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,23-11-2023 22:00,0.5
10,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,23-11-2023 22:00,0.5
11,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,24-11-2023 16:00,0.5
12,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,24-11-2023 16:00,0.5
13,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,24-11-2023 21:00,1.5
14,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,24-11-2023 21:00,1.5
15,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,24-11-2023 22:00,4
16,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,24-11-2023 22:00,4
17,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,24-11-2023 23:00,1
18,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,24-11-2023 23:00,1
19,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,25-11-2023 04:00,0.5
20,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,25-11-2023 04:00,0.5
21,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,04-12-2023 20:00,0.5
22,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,04-12-2023 20:00,0.5
23,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,04-12-2023 21:00,0.5
24,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,04-12-2023 21:00,0.5
25,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,04-12-2023 23:00,1.5
26,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,04-12-2023 23:00,1.5
27,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 00:00,1
28,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 00:00,1
29,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 01:00,0.5
30,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 01:00,0.5
31,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 02:00,0.5
32,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 03:00,0.5
33,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 03:00,0.5
34,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 04:00,1
35,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 04:00,1
36,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 05:00,0.5
37,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 05:00,0.5
38,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 06:00,0.5
39,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 06:00,0.5
40,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 07:00,0.5
41,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 07:00,0.5
42,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 08:00,2
43,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 09:00,2
44,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 09:00,2
45,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 10:00,1.5
46,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 10:00,1.5
47,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 11:00,0.5
48,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 11:00,0.5
49,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 12:00,2
50,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 12:00,2
51,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 13:00,0.5
52,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 13:00,0.5
53,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 17:00,0.5
54,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 18:00,0.5
55,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 18:00,0.5
56,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 20:00,1
57,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 20:00,1
58,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 21:00,1
59,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-12-2023 21:00,1
60,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-12-2023 03:00,0.5
61,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-12-2023 03:00,0.5
62,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-12-2023 04:00,1.5
63,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,06-12-2023 04:00,1.5
64,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,25-04-2024 19:00,0.5
65,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,05-05-2024 20:00,2.5
66,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-05-2024 20:00,18.5
67,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-05-2024 21:00,11
68,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-05-2024 22:00,2
69,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,07-05-2024 23:00,0.5
70,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-05-2024 01:00,0.5
71,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-05-2024 03:00,1.5
72,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-05-2024 04:00,7
73,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-05-2024 05:00,1
74,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,08-05-2024 06:00,0.5
75,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,16-05-2024 22:00,11.5
76,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,16-05-2024 23:00,14
77,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,17-05-2024 00:00,1
78,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,17-05-2024 03:00,0.5
79,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,18-05-2024 15:00,0.5
80,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,18-05-2024 15:00,0.5
81,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,18-05-2024 16:00,0.5
82,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,18-05-2024 16:00,0.5
83,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,26-05-2024 16:00,7.5
84,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,26-05-2024 16:00,7.5
85,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,26-05-2024 17:00,23
86,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,03-06-2024 00:00,33
87,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,03-06-2024 00:00,33
88,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,03-06-2024 01:00,44
89,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,03-06-2024 01:00,44
90,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,03-06-2024 02:00,2.5
91,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,03-06-2024 03:00,3.5
92,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,03-06-2024 03:00,3.5
93,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,03-06-2024 04:00,2.5
94,AKBR,Telangana SW,36,Telangana,514,NALGONDA,-,-,-,-,-,-,-,-,-,16.69700000,79.08900000,03-06-2024 04:00,2.5
